,nama_makanan,air,energi,protein,lemak,karbo,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,bdd,kategori,jenis_bahan,id_resep,bahan_bahan,langkah,bahan_stemmed
0,"beras giling, mentah",12,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27,71.0,0.10,0.5,0,0,0,0.20,0.08,2.6,0,100,serealia,tunggal,,,,[]
1,"beras giling var pelita,
mentah",11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,34,0.0,0.00,0.0,0,0,0,0.26,0.00,0.0,0,100,serealia,tunggal,,,,[]
2,"beras giling var
rojolele, mentah",12,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,34,112.9,0.14,0.1,0,0,80,0.20,0.02,1.5,0,100,serealia,tunggal,,,,[]
3,"beras hitam, mentah",12.9,351,8,1.3,76.9,20.1,0.9,6,198,0.1,15,105.0,0.10,1.6,0,0,0,0.21,0.06,0.0,0,100,serealia,tunggal,,,,[]
4,"beras jagung kuning, kering, mentah",10.8,358,5.5,0.1,82.7,10.0,0.9,20,90,1.4,1,80.0,0.10,4.1,0,641,0,0.12,0.08,1.0,3,100,serealia,tunggal,,,,[]
5,"beras jagung putih,
kering, mentah",22.5,307,4.8,0.1,71.8,10.0,0.8,17,78,1.2,1,70.0,0.10,3.5,0,301,0,0.15,0.07,0.9,0,100,serealia,tunggal,,,,[]
6,"beras ketan hitam tumbuk, mentah",13.7,360,8,2.3,74.5,1.0,1.5,10,347,6.2,11,288.0,0.28,2.2,0,0,0,0.24,0.10,2.0,0,100,serealia,tunggal,,,,[]
7,"beras ketan putih
tumbuk, mentah",12.9,361,7.4,0.8,78.4,0.4,0.5,13,157,3.4,3,282.0,0.28,2.2,0,0,0,0.28,0.00,1.4,0,100,serealia,tunggal,,,,[]
8,"beras ladang, mentah",9.8,376,7.5,3.8,78,5.9,0.9,20,110,0.8,10,70.0,0.10,1.4,0,0,0,0.20,0.20,5.1,0,100,serealia,tunggal,,,,[]
9,"beras menir, mentah",12,362,7.7,4.4,73,0.2,0.2,22,272,3.7,90,201.0,0.10,0.5,0,0,0,0.55,0.00,1.9,0,100,serealia,tunggal,,,,[]
