nama_makanan,air,energi,protein,lemak,karbo,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,bdd,kategori,jenis_bahan,id_resep,bahan_bahan,langkah
"Beras giling, mentah",12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,27,71.0,0.10,0.5,0,0,0,0.20,0.08,2.6,0,100,serealia,tunggal,,,
"Beras giling var pelita,
mentah",11.4,369,9.5,1.4,77.1,0.4,0.6,68,171,1.4,34,0.0,0.00,0.0,0,0,0,0.26,0.00,0.0,0,100,serealia,tunggal,,,
"Beras giling var
rojolele, mentah",12.0,357,8.4,1.7,77.1,0.2,0.8,147,81,1.8,34,112.9,0.14,0.1,,0,80,0.20,0.02,1.5,0,100,serealia,tunggal,,,
"Beras hitam, mentah",12.9,351,8.0,1.3,76.9,20.1,0.9,6,198,0.1,15,105.0,0.10,1.6,0,0,0,0.21,0.06,0.0,0,100,serealia,tunggal,,,
"Beras jagung kuning, kering, mentah",10.8,358,5.5,0.1,82.7,10.0,0.9,20,90,1.4,1,80.0,0.10,4.1,,641,,0.12,0.08,1.0,3,100,serealia,tunggal,,,
"Beras jagung putih,
kering, mentah",22.5,307,4.8,0.1,71.8,10.0,0.8,17,78,1.2,1,70.0,0.10,3.5,,301,,0.15,0.07,0.9,0,100,serealia,tunggal,,,
"Beras ketan hitam tumbuk, mentah",13.7,360,8.0,2.3,74.5,1.0,1.5,10,347,6.2,11,288.0,0.28,2.2,0,0,0,0.24,0.10,2.0,0,100,serealia,tunggal,,,
"Beras ketan putih
tumbuk, mentah",12.9,361,7.4,0.8,78.4,0.4,0.5,13,157,3.4,3,282.0,0.28,2.2,0,0,0,0.28,0.00,1.4,0,100,serealia,tunggal,,,
"Beras ladang, mentah",9.8,376,7.5,3.8,78.0,5.9,0.9,20,110,0.8,10,70.0,0.10,1.4,0,0,,0.20,0.20,5.1,0,100,serealia,tunggal,,,
"Beras menir, mentah",12.0,362,7.7,4.4,73.0,0.2,0.2,22,272,3.7,90,201.0,0.10,0.5,0,0,,0.55,0.00,1.9,0,100,serealia,tunggal,,,
Beras parboiled,10.0,353,6.8,0.6,80.0,0.5,2.5,5,142,0.8,2,46.0,0.28,1.0,0,0,,0.22,0.11,3.4,0,100,serealia,tunggal,,,
"Beras tumbuk, mentah",11.5,354,7.8,0.4,79.9,3.8,0.4,3,112,0.6,5,85.0,0.50,1.5,0,0,,0.25,0.22,5.1,0,100,serealia,tunggal,,,
"Beras tumbuk merah,
mentah",14.6,352,7.3,0.9,76.2,0.8,1.0,15,257,4.2,10,202.0,0.36,1.9,0,0,0,0.34,0.00,3.3,0,100,serealia,tunggal,,,
"Cantel, mentah",11.0,366,11.0,3.3,73.0,1.2,1.7,28,287,4.4,7,249.0,,,0,0,,0.09,0.14,2.8,0,100,serealia,tunggal,,,
"Jagung muda, kuning,
mentah",61.8,147,5.1,0.7,31.5,1.3,0.9,6,122,1.1,5,33.6,0.13,0.9,0,113,261,0.24,0.10,0.8,9,100,serealia,tunggal,,,
"Jagung kuning pipil,
kering, mentah",11.5,366,9.8,7.3,69.1,2.2,2.4,30,538,2.3,5,79.4,0.10,4.1,,636,641,0.12,0.12,1.8,3,100,serealia,tunggal,,,
"Jagung pipil var,
harapan, kering",11.3,367,6.2,5.1,76.2,2.6,1.2,7,354,2.8,1,79.6,0.10,4.1,,637,385,0.19,0.08,1.0,0,100,serealia,tunggal,,,
"Jagung pipil var,
metro, kering",10.6,368,5.5,4.6,78.0,2.9,1.3,7,300,2.4,1,80.2,0.10,4.1,,642,554,0.16,0.08,1.0,0,100,serealia,tunggal,,,
"Jali, mentah",23.0,324,11.0,4.0,61.0,3.1,1.0,213,176,"11.
0",24,,0.10,0.4,,,,0.14,0.08,1.8,0,90,serealia,tunggal,,,
"Jawawut, mentah",11.9,364,9.7,3.5,73.4,8.2,1.5,28,311,5.3,7,255.1,0.45,1.5,,33,,0.33,0.28,4.5,-,100,serealia,tunggal,,,
"Jampang huma,
mentah",11.7,350,6.2,1.4,78.2,1.7,2.5,329,254,5.3,53,396.7,0.70,1.6,,33,,0.51,0.30,0.7,0,100,serealia,tunggal,,,
Nasi,56.7,180,3.0,0.3,39.8,0.2,0.2,25,27,0.4,1,38.0,0.10,0.6,0,0,,0.05,0.10,2.6,0,100,serealia,olahan,,,
Nasi tim,71.0,120,2.4,0.4,26.0,0.5,0.2,3,7,0.4,0,23.9,0.10,0.4,,0,,0.10,0.00,1.4,0,100,serealia,olahan,1,,
"Beras, tapai",75.5,99,1.7,0.3,22.4,0.0,0.1,4.0,19,0.0,26,2.0,0.10,0.5,0,0,0,0.00,0.00,0.0,0,100,serealia,olahan,,"- 100g Nasi aron
- 1/4 bh Bawang bombay
- 1 1/2 sdm SAORI Saus Teriyaki
- 1 sdm Minyak goreng
Pelengkap:
- Kuah kaldu
- Daun bawang","1. Iris - iris bawang bombay.
2. Tumis bawang bombay hingga harum.
3. Masukkan kuah kaldu, SAORI Saus Teriyaki, aduk rata. Masak hingga kuah mengental, angkat, dan sisihkan.
4. Masukkan tumisan dan nasi aron ke dalam wadah, kukus kurang lebih 30 menit, angkat, beri daun bawang dan sajikan."
"Beras, tepung, mentah",12.0,353,7.0,0.5,80.0,2.4,0.5,5,140,0.8,5,241.0,0.10,0.8,0,0,0,0.12,0.10,1.2,0,100,serealia,olahan,,,
"Beras merah, Nasi",64.0,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5,91.4,0.20,0.9,0,0,0,0.06,0.00,1.6,0,100,serealia,olahan,,,
"Bihun, mentah",12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,12,5.0,0.08,0.7,0,0,0,0.00,0.00,0.2,0,100,serealia,olahan,,,
Bihun goreng instan,9.0,381,6.1,3.9,80.3,,0.7,266,151,2.9,928,,,,58,,400,0.37,,,0,100,serealia,olahan,,,
"Bihun Jagung, mentah",11.3,354,0.5,0.3,87.4,3.0,0.5,13,111,0.6,49,1.4,0.40,0.0,,0,0,0.02,0.02,0.3,0,100,serealia,olahan,,,
"Jagung nasi, mentah",11.0,357,8.8,0.5,79.5,6.2,0.3,5,43,0.6,2,30.4,0.10,0.3,,0,0.0,0.30,0.02,0.1,0,100,serealia,olahan,,,
"Jagung muda, rebus",53.2,142,5.0,0.7,30.3,0.8,0.8,5,105,0.8,5,24.3,0.20,0.9,,145,225,0.15,0.00,0.7,0,100,serealia,olahan,,,
"Jagung kuning, tepung",12.0,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,510,0.38,0.02,0.3,,100,serealia,olahan,,,
"Jagung kuning pipil,
rebus",63.7,154,3.8,3.5,28.4,0.7,0.6,7,171,0.5,5,56.4,0.10,4.4,,818,234,0.08,0.10,1.7,0,100,serealia,olahan,,,
"Jagung, tepung putih",12.0,355,9.2,3.9,73.7,7.2,1.2,10,256,2.4,11,24.4,0.23,1.7,,0,0,0.38,0.02,0.3,,100,serealia,olahan,,,
"Ketan, ketupat",52.0,212,4.0,4.6,38.6,0.2,0.9,8,46,1.0,,,,,0,0,0,0.07,,0.2,0,100,serealia,olahan,,,
