0,nasi tim,120,"2,4","0,4",26,0,"- 100g nasi aron
- 1/4 bh bawang bombay
- 1 1/2 sdm saori saus teriyaki
- 1 sdm minyak goreng
pelengkap:
- kuah kaldu
- daun bawang","['nasi', 'aron', 'bh', 'bawangbombay', 'sdm', 'saori', 'saus', 'teriyaki', 'sdm', 'minyakgoreng', 'lengkap', 'kuah', 'kaldu', 'daunbawang']","1. iris - iris bawang bombay.
2. tumis bawang bombay hingga harum.
3. masukkan kuah kaldu, saori saus teriyaki, aduk rata. masak hingga kuah mengental, angkat, dan sisihkan.
4. masukkan tumisan dan nasi aron ke dalam wadah, kukus kurang lebih 30 menit, angkat, beri daun bawang dan sajikan.",main_course
1,amparan tatak,191,"1,3","5,5",34,0,"bahan a:
30 gr tepung beras
250 ml santan kental
25 gr gula pasir
1/2 sdt garam
bahan b:
6 buah pisang raja, potong-potong tipis
100 gr tepung beras
300 ml santan
50 gr gula pasir
1/2 sdt vanili bubuk
1/4 sdt garam
2 lembar daun pandan","['bahan', 'gr', 'tepungberas', 'ml', 'santan', 'kental', 'gr', 'gulapasir', 'sdt', 'garam', 'bahan', 'buah', 'pisang', 'raja', 'potongpotong', 'tipis', 'gr', 'tepungberas', 'ml', 'santan', 'gr', 'gulapasir', 'sdt', 'vanili', 'bubuk', 'sdt', 'garam', 'lembar', 'daunpandan']","buat dulu lapisan bawahnya dulu dengan bahan b. masak dulu santan hingga panas, masukkan gula, garam dan daun pandan yang sudah diremas dan ikat simpul. aduk terus hingga larut. angkat.
campurkan tepung beras dan vanili dalam wadah tahan panas. tuang santan sambil disaring ke dalam tepung, aduk rata hingga lembut dan halus tidak bergerindil.
panaskan kukusan. siapkan loyang, olesi dengan minyak goreng. tuang adonan ke dalam loyang, sisakan 1/3 adonan. tutup dan kukus selama 15 menit.
campurkan 1/3 adonan dengan potongan pisang raja. setelah pengukusan 15 menit, buka dan tuang adonan pisang. tutup kembali dan kukus lagi selama 15 menit.
selagi menunggu adonan kukus, buat lapisan atasnya dengan bahan a.
campurkan semua bahan, aduk rata hingga tidak ada yang bergerindil. saring ke dalam panci, nyalakan api. masak hingga meletup-letup dan tidak ada yang bergerindil. matikan api.
tuang adonan ke atas lapisan pisang setelah matang, kembali kukus lagi selama 15 menit. setelah padat matang, matikan api, keluarkan dari kukusan dan biarkan dingin.
keluarkan dari cetakan dan potong-potong.",snack
2,"apang kukus, kue",202,3,"0,3","46,7",0,"200 gr tepung beras.
50 ml tepung terigu.
150 gr gula pasir.
400 ml santan yang sudah didihkan terlebi hdahulu.
1 sdm fermipan.
1/2 sdt baking powder.
1/4 sdt garam.
pasta pandan secukupnya.","['gr', 'tepungberas', 'ml', 'tepungterigu', 'gr', 'gulapasir', 'ml', 'santan', 'didih', 'terlebi', 'hdahulu', 'sdm', 'fermipan', 'sdt', 'baking', 'powder', 'sdt', 'garam', 'pasta', 'pandan']","masukan tepung tambahkan, ragi, gula, garam, pewarna dan baking powder aduk rata.
tambahkan santan aduk rata saring.
diamkan adinan selama 30 menit.
didihkan kukusan alas serbet penutup panci oles cetakan dengan sedikit minyak.
stelah 30 menit tuang adonan pada cetakan kukukus 15 menit.",snack
3,"apem, kue",148,2,"0,5","33,9",0,"Ã‚Â½ sendok teh garam
2 lembar daun pandan, simpulkan
225 gram tepung beras
250 ml santan dari Ã‚Â½ butir kelapa
100 gram tepung terigu
6 gram ragi instan","['sendok', 'garam', 'lembar', 'daunpandan', 'simpul', 'gram', 'tepungberas', 'ml', 'santan', 'butir', 'kelapa', 'gram', 'tepung', 'terigu', 'gram', 'ragi', 'instan']","1. didihkan air kelapa, masukkan gula merah, garam, dan daun pandan. angkat, saring, dan dinginkan.
2. tuang rebusan air kelapa ke dalam tepung beras, aduk dengan tangan hingga tercampur rata, dinginkan.
3. masukkan santan, tepung terigu, ragi instan, bumbu spekuk, dan baking powder, uleni sambil diaduk-aduk selama 15 menit.
4. diamkan adonan selama 40 menit atau hingga adonan mengembang.
5. siapkan loyang cetakan, olesi minyak goreng. panaskan cetakan dalam kukusan selama 5 menit.
6. tuang adonan ke dalam cetakan, lalu kukus selama 30 menit atau hingga kue matang.
7. potong sesuai selera, hidangkan dengan taburan parutan kelapa.",snack
4,bakwan,280,"8,2","10,2",39,0,"- 60 gr wortel
- 3 gr seledri
- 7 gr daun bawang 20 gr kol
- 1 bks sajikuÃ‚Â® tepung bumbu bakwan crispy
- 700 ml minyak goreng
- 130 ml air","['gr', 'wortel', 'gr', 'seledri', 'gr', 'daunbawang', 'gr', 'kol', 'bks', 'saji', 'tepung', 'bumbu', 'bakwan', 'crispy', 'ml', 'minyakgoreng', 'ml', 'air']","potong wortel bentuk korek api, iris daun bawang, kol, seledri.
campurkan sajiku tepung bumbu bakawan crispy dengan air, aduk rata.
masukkan wortel, kol, daun bawang, seledri, aduk rata.
panaskan minyak goreng, masukkan adonan dengan sendok, goreng hingga matang dan berwarna kuning keemasan.",main_course
5,bantal,190,"3,3","0,3","43,5",164,"bahan biang

1 sdt ragi instan
100 ml air hangat
2 sdm gula pasir
bahan roti

250 gram tepung terigu
1 butir telur
1/4 sdt vanili bubuk
1 sdm margarin
40 ml kental manis
bahan taburan

biji wijen dan gula pasir secukupnya","['bahan', 'biang', 'sdt', 'ragi', 'instan', 'ml', 'air', 'hangat', 'sdm', 'gulapasir', 'bahan', 'roti', 'gram', 'tepungterigu', 'butir', 'telur', 'sdt', 'vanili', 'bubuk', 'sdm', 'margarin', 'ml', 'kental', 'manis', 'bahan', 'tabur', 'biji', 'wijen', 'gulapasir']","1. campur semua bahan biang. diamkan sekitar 10 menit sampai berbuih.

2. campur semua bahan roti. masukkan bahan biang sedikit demi sedikit sambil uleni hingga kalis.

3. siapkan wadah yang sudah diolesi minyak. taruh adonan dan diamkan sampai mengembang.

4. setelah adonan mengembang, tinju adonan hingga mengempis.

5. potong adonan kotak-kotak. diamkan sekitar 15 menit. olesi permukaan adonan dengan air, taburi dengan biji wijen dan gula pasir.

6. panaskan minyak goreng. goreng roti dengan api sedang sampai kecokelatan. angkat dan tiriskan.",snack
6,baruasa,417,"6,5","8,2","79,3",0,"hasil:
1 toples @500 gram
tepung beras - 250 gram
kelapa parut - 100 gram
telur - 2 butir
margarin - 50 gram
gula pasir butiran halus - 100 gram
gula merah, sisir halus - 50 gram
baking powder - 1/2 sdt
baking soda - 1/2 sdt
daun pandan - 1 lembar
","['hasil', 'toples', 'gram', 'tepungberas', 'gram', 'kelapa', 'parut', 'gram', 'telur', 'butir', 'margarin', 'gram', 'gulapasir', 'butir', 'halus', 'gram', 'gulamerah', 'sisir', 'halus', 'gram', 'bakingpowder', 'sdt', 'bakingsoda', 'sdt', 'daun', 'pandan', 'lembar']","1. sangrai tepung beras dengan 1 lembar daun pandan sampai tepung terasa ringan, angkat dan dinginkan. buang daun pandannya.
2. sangrai kelapa parut sampai kering dan berwarna kecoklatan, kemudian tumbuk halus atau haluskan dengan chopper.
3. campur tepung beras yang sudah disangrai, kelapa parut, baking powder, baking soda, aduk rata. sisihkan.
4. dalam wadah campur margarin, gula pasir dan gula merah, kocok menggunakan mixer sampai tercampur rata. masukkan telur satu per satu, kocok sampai sedikit mengembang dan mengental.
5. tambahkan campuran tepung ke dalam kocokan telur dan gula, aduk rata menggunakan spatula sampai tekstur adonan bisa dipulung.
6. ambil satu sendok teh adonan, kemudian bulatkan. tata dengan diberi jarak di atas loyang yang sudah dialasi kertas roti dan dioles margarin tipis.
7. panggang dengan suhu 160Ã‚Â°c sampai matang selama 30 menit.
8. setelah matang dinginkan dan simpan di toples kedap udara.",snack
7,batar daan,107,"2,2","2,2","19,6",0,"hasil: 4 porsi
1 bawang bombay besar, potong dadu
5 siung bawang putih, cincang
3 sdm minyak zaitun perdagangan adil
3 gelas air
1 buah labu siam, potong kecil-kecil
1 10-oz. kantong jagung beku
1 15-oz. kaleng kacang merah, tiriskan
garam dan merica secukupnya
2 cangkir nasi matang","['hasil', 'porsi', 'bawangbombay', 'potong', 'dadu', 'siung', 'bawangputih', 'cincang', 'sdm', 'minyakzaitun', 'dagang', 'adil', 'gelas', 'air', 'buah', 'labu', 'siam', 'potong', 'kecilkecil', 'oz', 'kantong', 'jagung', 'beku', 'oz', 'kaleng', 'kacangmerah', 'tiris', 'garam', 'merica', 'cangkir', 'nasi', 'matang']","tumis bawang bombay dan bawang putih dengan minyak zaitun dengan api sedang hingga layu. tambahkan air dan labu siam, masak hingga air mendidih. tambahkan jagung dan kacang merah, kecilkan api menjadi sedang, dan masak sambil sesekali diaduk selama 15 hingga 20 menit sampai labu empuk. tambahkan garam dan merica sesuai selera. sajikan dengan nasi.",main_course
8,bika ambon,199,"2,1","1,5","44,4",0,"hasil: 16 porsi
250 ml santan kental
Ã‚Â½ sdt garam
1 sdt kunyit bubuk
2 lembar daun pandan
2 batang serai, memarkan
12 lembar daun jeruk
4 butir telur
200 g gula halus
200 g tepung terigu
150 g tepung tapioka
2 sdm margarin, cairkan
biang:
2 sdt ragi instan
4 sdm gula pasir
150 ml santan cair hangat","['hasil', 'porsi', 'ml', 'santan', 'kental', 'sdt', 'garam', 'sdt', 'kunyit', 'bubuk', 'lembar', 'daunpandan', 'batang', 'serai', 'memar', 'lembar', 'daun', 'jeruk', 'butir', 'telur', 'gula', 'halus', 'tepungterigu', 'tepungtapioka', 'sdm', 'margarin', 'cair', 'biang', 'sdt', 'ragi', 'instan', 'sdm', 'gula', 'pasir', 'ml', 'santan', 'cair', 'hangat']","biang: dalam wadah, aduk rata bahan biang. diamkan hingga berbusa, sisihkan.

panaskan santan dan garam. masukkan kunyit bubuk, daun pandan, serai dan daun jeruk. masak hingga mendidih, angkat dan saring. sisihkan.

kocok telur hingga berbusa. tambahkan gula halus dan santan yang sudah direbus. masukkan tepung terigu dan tepung tapioka, aduk rata. masukkan margarin, aduk rata. diamkan adonan selama 1 jam.

panaskan dandang dan bungkus tutupnya dengan kain atau serbet bersih.

tuang ke dalam loyang persegi 20 cm yang sudah dioles margarin dan dialas baking paper.

masukkan ke dalam dandang dan kukus di atas api besar selama 25-30 menit sampai matang.

keluarkan dari dandang dan biarkan dingin. potong-potong, sajikan.",snack
9,bingka,273,"5,3","10,6","39,1",0,"hasil: 9 porsi
kentang, kukus lalu haluskan - 300 gram
terigu protein sedang - 150 gram
telur - 4 butir
gula pasir - 200 gram
margarin cair, dinginkan - 100 ml
garam - sejumput
wijen, sangrai - secukupnya
santan kental - 300 ml
daun pandan - 5 lembar
daun suji - 10 lembar
","['hasil', 'porsi', 'kentang', 'kukus', 'halus', 'gram', 'terigu', 'protein', 'gram', 'telur', 'butir', 'gulapasir', 'gram', 'margarin', 'cair', 'dingin', 'ml', 'garam', 'jumput', 'wijen', 'sangrai', 'santan', 'kental', 'ml', 'daunpandan', 'lembar', 'daunsuji', 'lembar']","1. campur santan kental, daun pandan, dan daun suji, lalu blender jadi satu. saring dan sisihkan.
2. dalam satu wadah, campur kentang, tepung terigu, telur, gula, garam, dan campuran santan. aduk rata menggunakan whisker atau bisa menggunakan blender.
3. masukkan margarin cair, aduk rata.
4. oles tipis loyang bingka dengan margarin. panaskan di atas kompor menggunakan api kecil.
5. setelah loyang benar-benar panas, tuang adonan. taburi wijen. tutup cetakan.
6. masak hingga matang dan permukaan kue bingka mengering, selama sekitar 30-40 menit.
7. angkat loyang. dinginkan dengan cara diangin-anginkan di atas rak kawat. setelah dingin, keluarkan kue dari loyang lalu potong sesuai selera.
8. siap disajikan.",snack
